Date,Female,Male,0-9,10-,20-29,30-39,40-49,50-59,60-69,70-79,80-,Sum
2020-03-01,2197,1329,27,137,1054,426,521,687,453,158,63,3526
2020-03-02,2621,1591,32,169,1235,506,633,834,530,192,81,4212
2020-03-03,3002,1810,34,204,1417,578,713,952,597,224,93,4812
2020-03-04,3332,1996,34,233,1575,631,790,1051,646,260,108,5328
2020-03-05,3617,2149,38,257,1727,659,847,1127,699,288,124,5766
2020-03-06,3939,2345,45,292,1877,693,889,1217,763,340,168,6284
2020-03-07,4245,2522,52,327,2028,727,941,1287,830,384,191,6767
2020-03-08,4440,2694,58,360,2133,760,975,1349,878,409,212,7134
2020-03-09,4583,2799,66,381,2190,779,1005,1391,916,438,216,7382
2020-03-10,4661,2852,67,393,2213,789,1030,1416,929,454,222,7513
2020-03-11,4808,2947,75,405,2238,804,1082,1472,960,483,236,7755
2020-03-12,4875,2994,76,412,2261,812,1101,1495,972,497,243,7869
2020-03-13,4936,3043,77,421,2274,823,1117,1523,985,506,253,7979
2020-03-14,5986,3100,81,424,2287,833,1133,1551,999,515,263,8086
2020-03-15,5026,3136,83,427,2301,842,1141,1568,1012,525,263,8162
2020-03-16,5067,3169,85,432,2313,849,1147,1585,1024,531,270,8236
2020-03-17,5120,3200,86,436,2330,856,1164,1602,1033,539,274,8320
2020-03-18,5173,3240,87,438,2342,873,1171,1615,1059,542,286,8413
2020-03-19,5269,3296,91,444,2358,886,1181,1642,1080,562,321,8565
2020-03-20,5322,3330,97,452,2365,893,1193,1656,1099,568,329,8652
2020-03-21,5412,3387,99,457,2380,900,1203,1672,1118,589,381,8799
2020-03-22,5467,3430,101,460,2396,909,1221,1691,1132,595,392,8897
