Date,Female,Male,0-9,10-,20-29,30-39,40-49,50-59,60-69,70-79,80-
2020-03-01,8,12,0,0,0,1,1,5,6,5,3
2020-03-02,9,13,0,0,0,1,1,5,6,6,3
2020-03-03,12,16,0,0,0,1,1,5,7,9,5
2020-03-04,12,20,0,0,0,1,1,5,7,12,6
2020-03-05,14,21,0,0,0,1,1,5,8,13,7
2020-03-06,17,25,0,0,0,1,1,5,11,14,10
2020-03-07,18,26,0,0,0,1,1,5,11,14,12
2020-03-08,21,29,0,0,0,1,1,5,11,18,14
2020-03-09,20,31,0,0,0,1,1,5,12,18,14
2020-03-10,21,33,0,0,0,1,1,5,13,19,15
2020-03-11,25,35,0,0,0,1,1,6,14,21,17
2020-03-12,28,38,0,0,0,1,1,6,14,24,20
2020-03-13,28,39,0,0,0,1,1,6,14,24,21
2020-03-14,31,41,0,0,0,1,1,6,14,27,23
2020-03-15,34,41,0,0,0,1,1,6,14,28,25
2020-03-16,34,41,0,0,0,1,1,6,14,28,25
2020-03-17,37,44,0,0,0,1,1,6,14,29,28
2020-03-18,39,45,0,0,0,1,1,6,16,29,31
2020-03-19,42,49,0,0,0,1,1,7,17,34,31
2020-03-20,43,51,0,0,0,1,1,7,17,35,33
2020-03-21,48,54,0,0,0,1,1,7,17,37,39
2020-03-22,49,55,0,0,0,1,1,7,17,37,41
2020-03-23,53,58,0,0,0,1,1,7,18,38,46
2020-03-24,60,60,0,0,0,1,1,8,20,38,52
2020-03-25,62,64,0,0,0,1,1,10,20,39,55
2020-03-26,63,38,0,0,0,1,1,10,20,41,58
2020-03-27,64,75,0,0,0,1,1,10,21,41,65
2020-03-28,67,77,0,0,0,1,1,10,21,41,70
2020-03-29,74,78,0,0,0,1,1,10,21,43,76
2020-03-30,78,80,0,0,0,1,1,10,21,45,80
2020-03-31,80,82,0,0,0,1,1,10,22,46,82
2020-04-01,81,84,0,0,0,1,1,10,23,46,84
