day,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,검역,총확진자수
2020-02-19,21,8,23,2,1,0,0,0,12,1,0,0,1,0,11,3,0,0,83
2020-02-20,25,8,68,2,2,0,0,0,13,1,1,1,2,0,28,5,0,0,156
2020-02-21,27,10,138,2,4,1,0,1,16,1,3,1,3,0,131,7,1,0,346
2020-02-22,30,13,286,2,7,2,1,1,22,6,3,1,3,1,165,11,2,0,556
2020-02-23,34,21,441,2,9,3,1,1,34,6,3,1,3,1,181,20,2,0,736
2020-02-24,37,37,499,2,9,3,2,1,40,6,3,1,3,1,226,21,2,0,893
2020-02-25,45,50,677,3,9,3,3,1,43,6,5,2,3,1,268,25,2,0,1146
2020-02-26,55,58,1017,3,9,8,6,1,55,6,7,7,3,1,321,36,2,0,1595
2020-02-27,62,63,1314,4,9,13,11,1,66,6,9,16,5,1,394,46,2,0,2022
2020-02-28,74,77,2055,6,9,14,17,1,76,7,10,48,5,2,469,59,2,0,2931
2020-02-29,82,81,2569,6,9,13,17,1,84,7,11,60,5,3,514,62,2,0,3526
2020-03-01,91,88,3081,7,9,14,20,1,92,19,11,78,6,5,624,64,2,0,4212
2020-03-02,98,90,3601,7,11,14,20,1,94,20,11,81,7,5,685,64,3,0,4812
2020-03-03,99,93,4006,9,13,15,23,1,101,21,11,82,7,5,774,65,3,0,5328
2020-03-04,103,92,4326,9,14,16,23,1,110,23,12,86,7,5,861,74,4,0,5766
2020-03-05,105,95,4693,9,13,18,23,1,120,25,15,90,7,5,984,77,4,0,6284
2020-03-06,108,96,5084,9,13,18,23,2,130,26,20,92,7,4,1049,82,4,0,6767
2020-03-07,120,97,5381,9,13,18,24,3,141,27,24,98,7,4,1081,83,4,0,7134
2020-03-08,130,96,5571,9,15,19,24,6,152,28,25,102,7,4,1107,83,4,0,7382
2020-03-09,141,96,5663,13,15,18,24,8,163,28,25,104,7,4,1117,83,4,0,7513
2020-03-10,193,98,5794,25,15,18,25,10,175,29,27,112,7,4,1135,84,4,0,7755
2020-03-11,212,99,5867,25,15,20,25,15,178,29,27,114,7,4,1143,85,4,0,7869
2020-03-12,225,100,5928,27,15,22,27,32,185,29,27,115,7,4,1147,85,4,0,7979
2020-03-13,238,103,5990,28,15,22,27,38,200,29,28,115,7,4,1153,85,4,0,8086
2020-03-14,247,106,6031,30,16,22,28,39,211,29,31,115,7,4,1157,85,4,0,8162
2020-03-15,253,107,6066,30,16,22,28,40,231,29,31,115,7,4,1164,85,4,4,8236
2020-03-16,265,107,6098,31,16,22,28,40,262,29,31,115,7,4,1169,86,4,6,8320
2020-03-17,270,107,6144,32,17,22,30,41,277,30,32,118,9,5,1178,86,4,11,8413
2020-03-18,282,107,6241,32,17,22,36,41,295,30,33,118,10,5,1190,86,4,16,8565
2020-03-19,299,108,6275,36,18,22,36,41,309,30,33,119,10,5,1203,87,4,17,8652
2020-03-20,314,108,6344,40,18,22,36,41,321,30,34,119,10,5,1243,87,4,23,8799
2020-03-21,324,108,6387,40,19,24,36,41,337,30,35,120,10,6,1254,88,4,34,8897
2020-03-22,330,109,6411,40,19,24,36,42,351,30,37,120,10,6,1256,89,4,47,8961
